City/Community Cases "Case Rate" Deaths "Death Rate"
"City of Agoura Hills" 155 742 1 5
"City of Alhambra" 1204 1388 27 31
"City of Arcadia" 465 805 33 57
"City of Artesia" 347 2066 7 42
"City of Avalon" 5 129 0 0
"City of Azusa" 1470 2938 20 40
"City of Baldwin Park" 2813 3664 82 107
"City of Bell" 1518 4178 40 110
"City of Bell Gardens" 1840 4272 21 49
"City of Bellflower" 2283 2937 59 76
"City of Beverly Hills" 647 1874 12 35
"City of Bradbury" 14 1310 0 0
"City of Burbank" 1411 1316 57 53
"City of Calabasas" 251 1032 12 49
"City of Carson" 1776 1892 57 61
"City of Cerritos" 541 1081 14 28
"City of Claremont" 363 995 10 27
"City of Commerce*" 550 4208 11 84
"City of Compton" 3881 3885 68 68
"City of Covina" 1331 2715 35 71
"City of Cudahy" 1058 4346 15 62
"City of Culver City" 374 938 29 73
"City of Diamond Bar" 521 906 9 16
"City of Downey" 3905 3418 83 73
"City of Duarte" 529 2403 28 127
"City of El Monte" 4200 3582 151 129
"City of El Segundo" 128 763 1 6
"City of Gardena" 1205 1965 47 77
"City of Glendale" 3393 1643 172 83
"City of Glendora" 1209 2291 68 129
"City of Hawaiian Gardens" 516 3516 2 14
"City of Hawthorne" 1881 2119 42 47
"City of Hermosa Beach" 201 1022 4 20
"City of Hidden Hills" 6 317 0 0
"City of Huntington Park" 2776 4667 51 86
"City of Industry" 36 8238 2 458
"City of Inglewood" 2766 2435 87 77
"City of Irwindale" 68 4661 2 137
"City of La Canada Flintridge" 173 836 7 34
"City of La Habra Heights" 40 733 0 0
"City of La Mirada" 810 1633 27 54
"City of La Puente" 1440 3538 18 44
"City of La Verne" 442 1328 10 30
"City of Lakewood" 1218 1516 13 16
"City of Lancaster*" 3134 1940 45 28
"City of Lawndale" 612 1821 10 30
"City of Lomita" 236 1139 9 43
"City of Lynwood*" 3133 4349 95 132
"City of Malibu" 101 779 3 23
"City of Manhattan Beach" 343 953 5 14
"City of Maywood" 1390 4956 33 118
"City of Monrovia" 719 1853 37 95
"City of Montebello" 2212 3436 47 73
"City of Monterey Park" 930 1494 45 72
"City of Norwalk" 3105 2885 71 66
"City of Palmdale" 3870 2434 65 41
"City of Palos Verdes Estates" 92 680 2 15
"City of Paramount" 2302 4109 28 50
"City of Pico Rivera" 2315 3601 72 112
"City of Pomona" 5233 3356 118 76
"City of Rancho Palos Verdes" 285 667 13 30
"City of Redondo Beach" 534 777 9 13
"City of Rolling Hills" 11 567 0 0
"City of Rolling Hills Estates" 40 493 2 25
"City of Rosemead" 799 1444 25 45
"City of San Dimas*" 497 1440 14 41
"City of San Fernando" 864 3510 18 73
"City of San Gabriel" 614 1499 57 139
"City of San Marino" 85 640 2 15
"City of Santa Clarita" 3208 1455 45 20
"City of Santa Fe Springs" 535 2913 4 22
"City of Santa Monica" 833 901 41 44
"City of Sierra Madre" 71 646 3 27
"City of Signal Hill" 264 2238 2 17
"City of South El Monte" 770 3687 15 72
"City of South Gate" 4246 4326 67 68
"City of South Pasadena" 264 1013 27 104
"City of Temple City" 511 1402 41 112
"City of Torrance" 1367 916 67 45
"City of Vernon" 10 4785 0 0
"City of Walnut" 252 825 4 13
"City of West Covina" 2743 2534 59 55
"City of West Hollywood" 529 1432 5 14
"City of Westlake Village" 31 371 0 0
"City of Whittier" 2147 2456 31 35
"Los Angeles" 103501 2559 2667 66
"Los Angeles - Adams-Normandie" 257 3133 4 49
"Los Angeles - Alsace" 352 2828 3 24
"Los Angeles - Angeles National Forest" 2 5000 0 0
"Los Angeles - Angelino Heights" 74 2958 1 40
"Los Angeles - Arleta" 1388 4038 25 73
"Los Angeles - Atwater Village" 229 1561 6 41
